"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"1","PC14-OSC32_IN (PC14)","I/O","","","","","TIM1_BK2","","","","",""
"2","PC15-OSC32_OUT (PC15)","I/O","","","RCC_OSC32_EN","RCC_OSC_EN","","","","","",""
"3","VBAT","Power","","","","","","","","","",""
"4","VSS/VSSA","MonoIO","","","","","","","","","",""
"5","NRST","MonoIO","","","","","","","","","",""
"6","PA0","I/O","","","SPI2_SCK","USART2_CTS/USART2_NSS","TIM2_CH1/TIM2_ETR","","","LPTIM1_OUT","",""
"7","PA1","I/O","","","I2S1_CK/SPI1_SCK","USART2_CK/USART2_DE/USART2_RTS","TIM2_CH2","","","","I2C1_SMBA","EVENTOUT"
"8","PA2","I/O","","","I2S1_SD/SPI1_MOSI","USART2_TX","TIM2_CH3","","","","LPUART1_TX",""
"9","PA3","I/O","","","SPI2_MISO","USART2_RX","TIM2_CH4","","","","LPUART1_RX","EVENTOUT"
"10","PA4","I/O","","","I2S1_WS/SPI1_NSS","SPI2_MOSI","","","TIM14_CH1","LPTIM2_OUT","","EVENTOUT"
"11","PA5","I/O","","","I2S1_CK/SPI1_SCK","","TIM2_CH1/TIM2_ETR","","","LPTIM2_ETR","","EVENTOUT"
"12","PA6","I/O","","","I2S1_MCK/SPI1_MISO","TIM3_CH1","TIM1_BK","","","TIM16_CH1","LPUART1_CTS",""
"13","PA7","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM1_CH1N","","TIM14_CH1","TIM17_CH1","",""
"14","PB0","I/O","","","I2S1_WS/SPI1_NSS","TIM3_CH3","TIM1_CH2N","","","LPTIM1_OUT","",""
"15","PB1","I/O","","","TIM14_CH1","TIM3_CH4","TIM1_CH3N","","","LPTIM2_IN1","LPUART1_DE/LPUART1_RTS","EVENTOUT"
"16","PA8","I/O","","","RCC_MCO","SPI2_NSS","TIM1_CH1","","","LPTIM2_OUT","","EVENTOUT"
"17","PC6","I/O","","","","TIM3_CH1","TIM2_CH3","","","","",""
"18","PA11 [PA9]","I/O","","","I2S1_MCK/SPI1_MISO","USART1_CTS/USART1_NSS","TIM1_CH4","","","TIM1_BK2","I2C2_SCL",""
"19","PA12 [PA10]","I/O","","","I2S1_SD/SPI1_MOSI","USART1_CK/USART1_DE/USART1_RTS","TIM1_ETR","","","I2S_CKIN","I2C2_SDA",""
"20","PA13","I/O","","","SYS_SWDIO","IR_OUT","","","","","","EVENTOUT"
"21","PA14-BOOT0","I/O","","","SYS_SWCLK","USART2_TX","","","","","","EVENTOUT"
"22","PA15","I/O","","","I2S1_WS/SPI1_NSS","USART2_RX","TIM2_CH1/TIM2_ETR","","","","","EVENTOUT"
"23","PB3","I/O","","","I2S1_CK/SPI1_SCK","TIM1_CH2","TIM2_CH2","","USART1_CK/USART1_DE/USART1_RTS","","","EVENTOUT"
"24","PB4","I/O","","","I2S1_MCK/SPI1_MISO","TIM3_CH1","","","USART1_CTS/USART1_NSS","TIM17_BK","","EVENTOUT"
"25","PB5","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM16_BK","","","LPTIM1_IN1","I2C1_SMBA",""
"26","PB6","I/O","","","USART1_TX","TIM1_CH3","TIM16_CH1N","","SPI2_MISO","LPTIM1_ETR","I2C1_SCL","EVENTOUT"
"27","PB7","I/O","","","USART1_RX","SPI2_MOSI","TIM17_CH1N","","","LPTIM1_IN2","I2C1_SDA","EVENTOUT"
"28","PB8","I/O","","","","SPI2_SCK","TIM16_CH1","","","","I2C1_SCL","EVENTOUT"
