"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"1","VDD","Power","","","","","","","","","",""
"2","PF0-OSC_IN","I/O","","","","","","","","","",""
"3","PF1-OSC_OUT","I/O","","","","","","","","","",""
"4","NRST","Reset","","","","","","","","","",""
"5","VDDA","Power","","","","","","","","","",""
"6","PA0","I/O","","","RTC_TAMP2/SYS_WKUP1","USART2_CTS","TIM2_CH1/TIM2_ETR","TSC_G1_IO1","","","","COMP1_INM/COMP1_OUT"
"7","PA1","I/O","","","EVENTOUT","USART2_DE/USART2_RTS","TIM2_CH2","TSC_G1_IO2","","","","COMP1_INP"
"8","PA2","I/O","","","TIM15_CH1","USART2_TX","TIM2_CH3","TSC_G1_IO3","","","","COMP2_INM/COMP2_OUT"
"9","PA3","I/O","","","TIM15_CH2","USART2_RX","TIM2_CH4","TSC_G1_IO4","","","","COMP2_INP"
"10","PA4","I/O","","","I2S1_WS/SPI1_NSS","USART2_CK","","TSC_G2_IO1","TIM14_CH1","","","COMP1_INM/COMP2_INM"
"11","PA5","I/O","","","I2S1_CK/SPI1_SCK","CEC","TIM2_CH1/TIM2_ETR","TSC_G2_IO2","","","","COMP1_INM/COMP2_INM"
"12","PA6","I/O","","","I2S1_MCK/SPI1_MISO","TIM3_CH1","TIM1_BKIN","TSC_G2_IO3","","TIM16_CH1","EVENTOUT","COMP1_OUT"
"13","PA7","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM1_CH1N","TSC_G2_IO4","TIM14_CH1","TIM17_CH1","EVENTOUT","COMP2_OUT"
"14","PB0","I/O","","","EVENTOUT","TIM3_CH3","TIM1_CH2N","TSC_G3_IO2","","","",""
"15","PB1","I/O","","","TIM14_CH1","TIM3_CH4","TIM1_CH3N","TSC_G3_IO3","","","",""
"16","PB2","I/O","","","","","","TSC_G3_IO4","","","",""
"17","VDD","Power","","","","","","","","","",""
"18","PA8","I/O","","","RCC_MCO","USART1_CK","TIM1_CH1","EVENTOUT","","","",""
"19","PA9","I/O","","","TIM15_BKIN","USART1_TX","TIM1_CH2","TSC_G4_IO1","","","",""
"20","PA10","I/O","","","TIM17_BKIN","USART1_RX","TIM1_CH3","TSC_G4_IO2","","","",""
"21","PA11","I/O","","","EVENTOUT","USART1_CTS","TIM1_CH4","TSC_G4_IO3","","","","COMP1_OUT"
"22","PA12","I/O","","","EVENTOUT","USART1_DE/USART1_RTS","TIM1_ETR","TSC_G4_IO4","","","","COMP2_OUT"
"23","PA13","I/O","","","","IR_OUT","","","","","",""
"24","PA14","I/O","","","SYS_SWCLK","USART2_TX","","","","","",""
"25","PA15","I/O","","","I2S1_WS/SPI1_NSS","USART2_RX","TIM2_CH1/TIM2_ETR","EVENTOUT","","","",""
"26","PB3","I/O","","","I2S1_CK/SPI1_SCK","EVENTOUT","TIM2_CH2","TSC_G5_IO1","","","",""
"27","PB4","I/O","","","I2S1_MCK/SPI1_MISO","TIM3_CH1","EVENTOUT","TSC_G5_IO2","","","",""
"28","PB5","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM16_BKIN","I2C1_SMBA","","","",""
"29","PB6","I/O","","","USART1_TX","I2C1_SCL","TIM16_CH1N","TSC_G5_IO3","","","",""
"30","PB7","I/O","","","USART1_RX","I2C1_SDA","TIM17_CH1N","TSC_G5_IO4","","","",""
"31","BOOT0","Boot","","","","","","","","","",""
"32","PB8","I/O","","","CEC","I2C1_SCL","TIM16_CH1","TSC_SYNC","","","",""
