"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12"
"A1","PA14","I/O","","","SYS_JTCK-SWCLK","","","","","","","","","","","",""
"A2","PA15","I/O","","","SYS_JTDI","TIM2_CH1/TIM2_ETR","","","","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","USART1_TX","","","","",""
"A3","PB3","I/O","","","SYS_JTDO-SWO","TIM2_CH2","","","","I2S1_CK/SPI1_SCK","I2S3_CK/SPI3_SCK","USART1_RX","","I2C2_SDA","","",""
"A4","PB4","I/O","","","SYS_JTRST","","TIM3_CH1","","","SPI1_MISO","SPI3_MISO","I2S3_ext_SD","","I2C3_SDA","","","SDIO_D0"
"A5","BOOT0","Boot","","","","","","","","","","","","","","",""
"A6","VSS","Power","","","","","","","","","","","","","","",""
"A7","VDD","Power","","","","","","","","","","","","","","",""
"B1","VSS","Power","","","","","","","","","","","","","","",""
"B2","VDD","Power","","","","","","","","","","","","","","",""
"B3","PA13","I/O","","","SYS_JTMS-SWDIO","","","","","","","","","","","",""
"B4","PB5","I/O","","","","","TIM3_CH2","","I2C1_SMBA","I2S1_SD/SPI1_MOSI","I2S3_SD/SPI3_MOSI","","","","","","SDIO_D3"
"B5","PB8","I/O","","","","","TIM4_CH3","TIM10_CH1","I2C1_SCL","","I2S5_SD/SPI5_MOSI","","","I2C3_SDA","","","SDIO_D4"
"B6","PDR_ON","Power","","","","","","","","","","","","","","",""
"B7","VBAT","Power","","","","","","","","","","","","","","",""
"C1","PA11","I/O","","","","TIM1_CH4","","","","","SPI4_MISO","USART1_CTS","USART6_TX","","USB_OTG_FS_DM","",""
"C2","PA10","I/O","","","","TIM1_CH3","","","","","I2S5_SD/SPI5_MOSI","USART1_RX","","","USB_OTG_FS_ID","",""
"C3","PA12","I/O","","","","TIM1_ETR","","","","","SPI5_MISO","USART1_RTS","USART6_RX","","USB_OTG_FS_DP","",""
"C4","PB6","I/O","","","","","TIM4_CH1","","I2C1_SCL","","","USART1_TX","","","","",""
"C5","PB9","I/O","","","","","TIM4_CH4","TIM11_CH1","I2C1_SDA","I2S2_WS/SPI2_NSS","","","","I2C2_SDA","","","SDIO_D5"
"C6","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","","",""
"C7","PC14-OSC32_IN","I/O","","","","","","","","","","","","","","",""
"D1","PA8","I/O","","","RCC_MCO_1","TIM1_CH1","","","I2C3_SCL","","","USART1_CK","","","USB_OTG_FS_SOF","","SDIO_D1"
"D2","PA9","I/O","","","","TIM1_CH2","","","I2C3_SMBA","","","USART1_TX","","","USB_OTG_FS_VBUS","","SDIO_D2"
"D3","VSS","Power","","","","","","","","","","","","","","",""
"D4","PB7","I/O","","","","","TIM4_CH2","","I2C1_SDA","","","USART1_RX","","","","","SDIO_D0"
"D5","PC13-ANTI_TAMP","I/O","","","","","","","","","","","","","","",""
"D6","PH1 - OSC_OUT","I/O","","","","","","","","","","","","","","",""
"D7","PH0 - OSC_IN","I/O","","","","","","","","","","","","","","",""
"E1","PB15","I/O","","","RTC_REFIN","TIM1_CH3N","","","","I2S2_SD/SPI2_MOSI","","","","","","","SDIO_CK"
"E2","PB12","I/O","","","","TIM1_BKIN","","","I2C2_SMBA","I2S2_WS/SPI2_NSS","I2S4_WS/SPI4_NSS","I2S3_CK/SPI3_SCK","","","","",""
"E3","PB10","I/O","","","","TIM2_CH3","","","I2C2_SCL","I2S2_CK/SPI2_SCK","I2S3_MCK","","","","","","SDIO_D7"
"E4","PA3","I/O","","","","TIM2_CH4","TIM5_CH4","TIM9_CH2","","I2S2_MCK","","USART2_RX","","","","",""
"E5","PA2","I/O","","","","TIM2_CH3","TIM5_CH3","TIM9_CH1","","I2S_CKIN","","USART2_TX","","","","",""
"E6","VSSA","Power","","","","","","","","","","","","","","",""
"E7","NRST","Reset","","","","","","","","","","","","","","",""
"F1","PB14","I/O","","","","TIM1_CH2N","","","","SPI2_MISO","I2S2_ext_SD","","","","","","SDIO_D6"
"F2","VDD","Power","","","","","","","","","","","","","","",""
"F3","PA7","I/O","","","","TIM1_CH1N","TIM3_CH2","","","I2S1_SD/SPI1_MOSI","","","","","","",""
"F4","PA6","I/O","","","","TIM1_BKIN","TIM3_CH1","","","SPI1_MISO","I2S2_MCK","","","","","","SDIO_CMD"
"F5","PA5","I/O","","","","TIM2_CH1/TIM2_ETR","","","","I2S1_CK/SPI1_SCK","","","","","","",""
"F6","PA0-WKUP","I/O","","","","TIM2_CH1/TIM2_ETR","TIM5_CH1","","","","","USART2_CTS","","","","",""
"F7","VDDA","Power","","","","","","","","","","","","","","",""
"G1","PB13","I/O","","","","TIM1_CH1N","","","","I2S2_CK/SPI2_SCK","I2S4_CK/SPI4_SCK","","","","","",""
"G2","VCAP1","Power","","","","","","","","","","","","","","",""
"G3","PB2","I/O","","","","","","","","","","","","","","",""
"G4","PB1","I/O","","","","TIM1_CH3N","TIM3_CH4","","","","I2S5_WS/SPI5_NSS","","","","","",""
"G5","PB0","I/O","","","","TIM1_CH2N","TIM3_CH3","","","","I2S5_CK/SPI5_SCK","","","","","",""
"G6","PA4","I/O","","","","","","","","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK","","","","",""
"G7","PA1","I/O","","","","TIM2_CH2","TIM5_CH2","","","I2S4_SD/SPI4_MOSI","","USART2_RTS","","","","",""
